Deduction_Type,Bracket_Min,Bracket_Max,Employee_Rate,Fixed_Amount,Excess_Rate,Excess_Over
SSS,0,3249.99,0,135.00,0,0
SSS,3250,3749.99,0,157.50,0,0
SSS,3750,4249.99,0,180.00,0,0
SSS,4250,4749.99,0,202.50,0,0
SSS,4750,5249.99,0,225.00,0,0
SSS,5250,5749.99,0,247.50,0,0
SSS,5750,6249.99,0,270.00,0,0
SSS,6250,6749.99,0,292.50,0,0
SSS,6750,7249.99,0,315.00,0,0
SSS,7250,7749.99,0,337.50,0,0
SSS,7750,8249.99,0,360.00,0,0
SSS,8250,8749.99,0,382.50,0,0
SSS,8750,9249.99,0,405.00,0,0
SSS,9250,9749.99,0,427.50,0,0
SSS,9750,10249.99,0,450.00,0,0
SSS,10250,10749.99,0,472.50,0,0
SSS,10750,11249.99,0,495.00,0,0
SSS,11250,11749.99,0,517.50,0,0
SSS,11750,12249.99,0,540.00,0,0
SSS,12250,12749.99,0,562.50,0,0
SSS,12750,13249.99,0,585.00,0,0
SSS,13250,13749.99,0,607.50,0,0
SSS,13750,14249.99,0,630.00,0,0
SSS,14250,14749.99,0,652.50,0,0
SSS,14750,15249.99,0,675.00,0,0
SSS,15250,15749.99,0,697.50,0,0
SSS,15750,16249.99,0,720.00,0,0
SSS,16250,16749.99,0,742.50,0,0
SSS,16750,17249.99,0,765.00,0,0
SSS,17250,17749.99,0,787.50,0,0
SSS,17750,18249.99,0,810.00,0,0
SSS,18250,18749.99,0,832.50,0,0
SSS,18750,19249.99,0,855.00,0,0
SSS,19250,19749.99,0,877.50,0,0
SSS,19750,20249.99,0,900.00,0,0
SSS,20250,20749.99,0,922.50,0,0
SSS,20750,21249.99,0,945.00,0,0
SSS,21250,21749.99,0,967.50,0,0
SSS,21750,22249.99,0,990.00,0,0
SSS,22250,22749.99,0,1012.50,0,0
SSS,22750,23249.99,0,1035.00,0,0
SSS,23250,23749.99,0,1057.50,0,0
SSS,23750,24249.99,0,1080.00,0,0
SSS,24250,24749.99,0,1102.50,0,0
SSS,24750,9999999,0,1125.00,0,0
PhilHealth,0,10000,0,150.00,0,0
PhilHealth,10000.01,59999.99,0.015,0,0,0
PhilHealth,60000,9999999,0,900.00,0,0
Pag-IBIG,1000,1500,0.01,0,0,0
Pag-IBIG,1500.01,9999999,0,100.00,0,0
Withholding_Tax,0,20832,0,0,0,0
Withholding_Tax,20833,33332,0,0,0.20,20833
Withholding_Tax,33333,66666,0,2500,0.25,33333
Withholding_Tax,66667,166666,0,10833,0.30,66667
Withholding_Tax,166667,666666,0,40833.33,0.32,166667
Withholding_Tax,666667,9999999,0,200833.33,0.35,666667
